30
6
18 27
22 26
25
90
29 18
4 6
22 2
10 18
27 24
25 18
13 8
9 23
2 21
30 30
2 25
9 20
13 23
10 27
15 26
6 27
24 13
7 1
19 15
9 8
25 15
14 3
17 30
20 15
6 11
5 11
1 29
13 13
9 5
30 23
11 16
28 5
6 5
19 4
12 16
22 27
21 28
27 28
4 8
18 17
27 9
29 14
27 19
23 12
4 27
12 15
11 6
10 2
27 8
23 29
17 30
28 7
4 30
7 24
2 7
7 16
21 29
9 5
8 17
6 2
8 3
9 9
2 18
26 18
8 29
28 10
16 25
24 25
11 11
9 22
29 12
2 15
12 19
28 11
4 19
14 25
25 11
28 22
1 27
25 15
25 9
25 14
1 2
13 10
23 11
14 21
28 21
1 16
18 9
19 20
14 21
23 24
15 1
27 12
27 16
16 13
26 13
14 10
19 18
28 26
9 11
23 12
19 6
6 23
5 6
18 16
10 10
10 10
21 16
1 28
10 9
21 8
17 28
15 27
22 27
